seed,order,baseline_acc,candidate_acc,acc_delta,baseline_time_s,candidate_time_s,time_ratio
880000,baseline/candidate,0.6946,0.6886,-0.0060,23.173884765625,19.140896484375002,0.8259683983916095
880001,candidate/baseline,0.6970,0.6940,-0.0030,23.4279296875,19.1470234375,0.8172733866328751
880002,baseline/candidate,0.6986,0.6932,-0.0054,23.521232421875002,19.31124609375,0.8210133613488012
MEAN,,0.6967333333333333,0.6919333333333334,-0.004799999999999989,23.374348958333332,19.199722005208333,0.8214183821244285
